BOULOGNE;70020
LE TOUQUET;70030
ABBEVILLE;70050
DUNKERQUE;70100
LILLE LESQUI;70150
CAMBRAI;70170
PTE DE LA HAGUE;70200
MAUPERTUS;70240
CAEN CARPIQUET;70270
CAP DE LA HEVE;70280
PORT EN BESSIN;70290
DEAUVILLE;70310
ROUEN;70370
EVREUX/FAUVILLE FAF;70380
DIEPPE;70400
LE HAVRE-OCTEVILLE;70460
BEAUVAIS;70550
CREIL (FAFB);70570
SAINT-QUENTIN;70610
REIMS;70700
CHARLEVILLE;70750
ETAIN;70881
CHAMBLEY FRANCE AB;70891
METZ/FRESCATY;70900
METZ-NANCY-LORRAINE;70930
OUESSANT;71000
POINTE DU RAZ;71030
LANDIVISIAU (NAVY);71060
BRIGNOGAN;71070
LANVEOC POULMIC;71090
BREST;71100
PLOUMANACH PERROS G;71170
LANNION;71180
ROSTRENEN;71190
TREMUSON-ST-BRIEUC;71200
BREHAT ISLAND;71210
DINARD;71250
GROUIN DE CANCALE;71270
RENNES;71300
POINTE DU ROC;71330
ALENCON;71390
CHATEAUDUN;71400
CHARTRES;71430
TRAPPES;71450
TOUSSUS LE NOBLE;71460
VILLACOUBLAY;71470
PARIS-ORLY;71490
LE BOURGET;71500
MELUN;71530
PARIS-MONTSOURIS;71560
PARIS-AEROPORT CHAR;71570
CHALONS/VATRY FAFB;71650
TROYES BARBEREY;71680
SAINT-DIZIER;71690
DATSAV3 VIRT STATION (FRANCE);71790
NANCY-ESSEY;71800
NANCY-OCHEY;71810
DATSAV3 VIRT STATION (FRANCE);71860
STRASBOURG-ENTZHEIM;71900
MEYENHEIM-COLMAR;71970
PTE DE PENMARCH;72000
QUIMPER;72010
LORIENT LAN BIHOUE;72050
BELLE IIE LE TALUT;72070
SAINT-NAZAIRE-MONTO;72170
NANTES;72220
BEAUCOUZE;72300
LE MANS;72350
TOURS;72400
ORLEANS;72490
BOURGES;72550
TAVAUX;72553
AVORD;72554
AVORD (FAFB);72570
NEVERS;72600
AUXERRE;72650
CHATEAU-CHINON;72700
DIJON;72800
LANGRES;72830
BESANCON;72880
LUXEUIL;72920
BELFORT;72950
BALE-MULHOUSE;72990
L IIE D YEU;73000
LA ROCHE-SUR-YON;73060
CHASSIRON;73140
LA ROCHELLE;73150
LA ROCHELLE;73160
DATSAV3 VIRT STATION (FRANCE);73175
NIORT;73300
POITIERS;73350
CHATEAUROUX/DEOLS;73540
VICHY;73740
SAINT-YAN;73790
MACON;73850
DOLE-TAVAUX;73860
MARCE;73901
LA COUBRE;74000
COGNAC;74120
LIMOGES;74340
BRIVE;74380
CLERMONT-FERRAND;74600
LE PUY CITY;74700
LE PUY;74710
ST-ETIENNE BOUTHEON;74750
AVIGNON-COUMANT;74760
LYON-BRON;74800
LYON-SATOLAS;74810
AMBERIEU;74820
GRENOBLE-ST-GEOIRS;74860
CHAMBERY/AIX-LES-BA;74910
ANNECY/MEYTHET;74940
BOURG ST-MAURICE;74970
CAP FERRET;75000
CAZAUX;75020
BISCAROSSE;75030
BORDEAUX MERIGNAC;75100
AGEN;75240
BERGERAC;75300
GOURDON;75350
MONTAUBAN;75400
AURILLAC;75490
RODEZ/MARCILLAC;75520
MILLAU;75580
AVIGNON;75630
MONTELIMAR;75770
ORANGE;75790
ST-AUBAN-SUR-DURANC;75880
EMBRUN;75910
SOCOA;76000
BIARRITZ;76020
DAX;76030
MONT-DE-MARSAN;76070
PAU;76100
TARBES-OSSUN;76210
AUCH;76220
SAINT GIRONS;76270
TOULOUSE BLAGNAC;76300
TOULOUSE FRANCAZAL;76310
ALBI;76320
CARCASSONNE;76350
BEZIERS VIAS;76380
SETE;76410
VIAS;76415
MONTPELLIER;76430
NIMES-COURBESSAC;76450
NIMES/GARONS (NAVY);76460
ISTRES;76470
MARIGNANE;76500
CAP POMEGUES;76520
CAP COURONNE;76530
TOULON;76600
CAP CEPET;76610
HYERES;76670
PORQUEROLLES;76700
CANNES;76840
NICE;76900
CAPE FERRAT;76950
PERPIGNAN;77470
CAP BEAR;77490
ILE ROUSSE;77530
CALVI;77540
CAPE CAVALLO;77560
AJACCIO;77610
SOLENZARA;77650
LA CHIAPPA;77680
CAP PERTUSATO;77700
FIGARI;77800
CAP CORSE;77850
BASTIA;77900
CAPE SAGRO;77910
