stn,name,country,latitude,longitude,elevation
70020,BOULOGNE,FRANCE,50.733,1.6,74
"70030,""LE TOUQUET"",FRANCE,50.517,1.617,13"
70050,ABBEVILLE,FRANCE,50.133,1.833,77
70100,DUNKERQUE,FRANCE,51.05,2.333,17
"70150,""LILLE LESQUI"",FRANCE,50.567,3.1,52"
70170,CAMBRAI,FRANCE,50.217,3.15,77
"70200,""PTE DE LA HAGUE"",FRANCE,49.717,-1.933,12"
70240,MAUPERTUS,FRANCE,49.65,-1.483,138
"70270,""CAEN CARPIQUET"",FRANCE,49.183,-0.45,67"
"70280,""CAP DE LA HEVE"",FRANCE,49.5,0.067,103"
"70290,""PORT EN BESSIN"",FRANCE,49.35,-0.767,73"
70310,DEAUVILLE,FRANCE,49.367,0.167,147
70370,ROUEN,FRANCE,49.383,1.183,156
"70380,""EVREUX/FAUVILLE FAF"",FRANCE,49.017,1.217,141.1"
70400,DIEPPE,FRANCE,49.933,1.1,38
"70460,""LE HAVRE-OCTEVILLE"",FRANCE,49.533,0.083,94"
70550,BEAUVAIS,FRANCE,49.467,2.117,111
"70570,""CREIL (FAFB)"",FRANCE,49.25,2.517,88"
70610,SAINT-QUENTIN,FRANCE,49.817,3.2,101
70700,REIMS,FRANCE,49.3,4.033,91
70750,CHARLEVILLE,FRANCE,49.783,4.633,148
70881,ETAIN,FRANCE,49.233,5.683,237.1
"70891,""CHAMBLEY FRANCE AB"",FRANCE,49.033,5.866,266"
70900,METZ/FRESCATY,FRANCE,49.083,6.133,192
70930,METZ-NANCY-LORRAINE,FRANCE,48.983,6.25,264
71000,OUESSANT,FRANCE,48.483,-5.05,68
"71030,""POINTE DU RAZ"",FRANCE,48.033,-4.733,89"
"71060,""LANDIVISIAU (NAVY)"",FRANCE,48.517,-4.15,115"
71070,BRIGNOGAN,FRANCE,48.683,-4.333,18
"71090,""LANVEOC POULMIC"",FRANCE,48.283,-4.433,82"
71100,BREST,FRANCE,48.45,-4.417,99
"71170,""PLOUMANACH PERROS G"",FRANCE,48.833,-3.467,58"
71180,LANNION,FRANCE,48.75,-3.467,87
71190,ROSTRENEN,FRANCE,48.233,-3.3,262
71200,TREMUSON-ST-BRIEUC,FRANCE,48.533,-2.85,138
"71210,""BREHAT ISLAND"",FRANCE,48.85,-3,36"
71250,DINARD,FRANCE,48.583,-2.067,59
"71270,""GROUIN DE CANCALE"",FRANCE,48.717,-1.85,41"
71300,RENNES,FRANCE,48.067,-1.733,43
"71330,""POINTE DU ROC"",FRANCE,48.833,-1.617,42"
71390,ALENCON,FRANCE,48.433,0.1,144
71400,CHATEAUDUN,FRANCE,48.067,1.383,127
