BOULOGNE;70020;FRANCE;50.733;1.6;74
LE TOUQUET;70030;FRANCE;50.517;1.617;13
ABBEVILLE;70050;FRANCE;50.133;1.833;77
DUNKERQUE;70100;FRANCE;51.05;2.333;17
LILLE LESQUI;70150;FRANCE;50.567;3.1;52
CAMBRAI;70170;FRANCE;50.217;3.15;77
PTE DE LA HAGUE;70200;FRANCE;49.717;-1.933;12
MAUPERTUS;70240;FRANCE;49.65;-1.483;138
CAEN CARPIQUET;70270;FRANCE;49.183;-0.45;67
CAP DE LA HEVE;70280;FRANCE;49.5;0.067;103
PORT EN BESSIN;70290;FRANCE;49.35;-0.767;73
DEAUVILLE;70310;FRANCE;49.367;0.167;147
ROUEN;70370;FRANCE;49.383;1.183;156
EVREUX/FAUVILLE FAF;70380;FRANCE;49.017;1.217;141.1
DIEPPE;70400;FRANCE;49.933;1.1;38
LE HAVRE-OCTEVILLE;70460;FRANCE;49.533;0.083;94
BEAUVAIS;70550;FRANCE;49.467;2.117;111
CREIL (FAFB);70570;FRANCE;49.25;2.517;88
SAINT-QUENTIN;70610;FRANCE;49.817;3.2;101
REIMS;70700;FRANCE;49.3;4.033;91
CHARLEVILLE;70750;FRANCE;49.783;4.633;148
ETAIN;70881;FRANCE;49.233;5.683;237.1
CHAMBLEY FRANCE AB;70891;FRANCE;49.033;5.866;266
METZ/FRESCATY;70900;FRANCE;49.083;6.133;192
METZ-NANCY-LORRAINE;70930;FRANCE;48.983;6.25;264
OUESSANT;71000;FRANCE;48.483;-5.05;68
POINTE DU RAZ;71030;FRANCE;48.033;-4.733;89
LANDIVISIAU (NAVY);71060;FRANCE;48.517;-4.15;115
BRIGNOGAN;71070;FRANCE;48.683;-4.333;18
LANVEOC POULMIC;71090;FRANCE;48.283;-4.433;82
BREST;71100;FRANCE;48.45;-4.417;99
PLOUMANACH PERROS G;71170;FRANCE;48.833;-3.467;58
LANNION;71180;FRANCE;48.75;-3.467;87
ROSTRENEN;71190;FRANCE;48.233;-3.3;262
TREMUSON-ST-BRIEUC;71200;FRANCE;48.533;-2.85;138
BREHAT ISLAND;71210;FRANCE;48.85;-3;36
DINARD;71250;FRANCE;48.583;-2.067;59
GROUIN DE CANCALE;71270;FRANCE;48.717;-1.85;41
RENNES;71300;FRANCE;48.067;-1.733;43
POINTE DU ROC;71330;FRANCE;48.833;-1.617;42
ALENCON;71390;FRANCE;48.433;0.1;144
CHATEAUDUN;71400;FRANCE;48.067;1.383;127
CHARTRES;71430;FRANCE;48.467;1.5;156
TRAPPES;71450;FRANCE;48.767;2;168
TOUSSUS LE NOBLE;71460;FRANCE;48.767;1.1;161
VILLACOUBLAY;71470;FRANCE;48.767;2.2;179
PARIS-ORLY;71490;FRANCE;48.717;2.383;90
LE BOURGET;71500;FRANCE;48.967;2.433;52
MELUN;71530;FRANCE;48.617;2.683;92
PARIS-MONTSOURIS;71560;FRANCE;48.817;2.333;77
PARIS-AEROPORT CHAR;71570;FRANCE;49.017;2.533;112
CHALONS/VATRY FAFB;71650;FRANCE;48.783;4.183;179
TROYES BARBEREY;71680;FRANCE;48.333;4.017;118
SAINT-DIZIER;71690;FRANCE;48.633;4.9;140
DATSAV3 VIRT STATION (FRANCE);71790;FRANCE;49.933;1.1;0
NANCY-ESSEY;71800;FRANCE;48.683;6.217;212
NANCY-OCHEY;71810;FRANCE;48.583;5.967;351
DATSAV3 VIRT STATION (FRANCE);71860;FRANCE;49.933;1.1;0
STRASBOURG-ENTZHEIM;71900;FRANCE;48.55;7.633;153
